,filenames.noherb,filenames.estab,filenames.1974,mean.noherb.fn,mean.estab.fn,mean.1974.fn,std.noherb.fn,std.estab.fn,std.1974.fn,,,,,,,,,
1,noherb_clip/tifsonly/noherb_noherb_curmap_1_10_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_1_10_asc_clip.tif,1974/curmaps/clip?curmap_1_10_asc.tif,0.091,0.090,0.150,0.009,0.008,0.022,,1,10,PB,CB,,0.091 ± 0.009,0.09 ± 0.008,0.15 ± 0.022
2,noherb_clip/tifsonly/noherb_noherb_curmap_1_2_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_1_2_asc_clip.tif,1974/curmaps/clip?curmap_1_2_asc.tif,0.139,0.132,0.292,0.016,0.015,0.040,,1,2,PB,CA,,0.139 ± 0.016,0.132 ± 0.015,0.292 ± 0.04
3,noherb_clip/tifsonly/noherb_noherb_curmap_1_3_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_1_3_asc_clip.tif,1974/curmaps/clip?curmap_1_3_asc.tif,0.114,0.114,0.204,0.014,0.013,0.031,,1,3,PB,JA,,0.114 ± 0.014,0.114 ± 0.013,0.204 ± 0.031
4,noherb_clip/tifsonly/noherb_noherb_curmap_1_4_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_1_4_asc_clip.tif,1974/curmaps/clip?curmap_1_4_asc.tif,0.088,0.090,0.151,0.008,0.007,0.022,,1,4,PB,WR,,0.088 ± 0.008,0.09 ± 0.007,0.151 ± 0.022
5,noherb_clip/tifsonly/noherb_noherb_curmap_1_5_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_1_5_asc_clip.tif,1974/curmaps/clip?curmap_1_5_asc.tif,0.095,0.097,0.150,0.007,0.007,0.019,,1,5,PB,SA,,0.095 ± 0.007,0.097 ± 0.007,0.15 ± 0.019
6,noherb_clip/tifsonly/noherb_noherb_curmap_1_6_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_1_6_asc_clip.tif,1974/curmaps/clip?curmap_1_6_asc.tif,0.131,0.136,0.290,0.012,0.012,0.037,,1,6,PB,WT,,0.131 ± 0.012,0.136 ± 0.012,0.29 ± 0.037
7,noherb_clip/tifsonly/noherb_noherb_curmap_1_7_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_1_7_asc_clip.tif,1974/curmaps/clip?curmap_1_7_asc.tif,0.175,0.161,0.709,0.021,0.020,0.073,,1,7,PB,AC,,0.175 ± 0.021,0.161 ± 0.02,0.709 ± 0.073
8,noherb_clip/tifsonly/noherb_noherb_curmap_1_8_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_1_8_asc_clip.tif,1974/curmaps/clip?curmap_1_8_asc.tif,0.108,0.111,0.247,0.013,0.013,0.037,,1,8,PB,JB,,0.108 ± 0.013,0.111 ± 0.013,0.247 ± 0.037
9,noherb_clip/tifsonly/noherb_noherb_curmap_1_9_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_1_9_asc_clip.tif,1974/curmaps/clip?curmap_1_9_asc.tif,0.102,0.105,0.200,0.013,0.012,0.031,,1,9,PB,GI,,0.102 ± 0.013,0.105 ± 0.012,0.2 ± 0.031
10,noherb_clip/tifsonly/noherb_noherb_curmap_2_10_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_2_10_asc_clip.tif,1974/curmaps/clip?curmap_2_10_asc.tif,0.096,0.103,0.176,0.011,0.011,0.026,,2,10,CA,CB,,0.096 ± 0.011,0.103 ± 0.011,0.176 ± 0.026
