A,0,3,6,9,12,
1,258,258,259,260,259,
2,258,258,259,259,261,
3,262,263,261,264,259,
4,265,265,266,267,NA,
,,,,,,
B,0,3,6,9,12,
1,268,269,268,269,269,
2,270,269,271,269,272,
3,270,270,270,271,269,
4,273,270,274,271,275,
,,,,,,
C,0,3,6,9,12,
1,276,277,278,279,280,
2,281,278,278,269,282,
3,283,269,269,269,280,
4,281,269,269,269,284,
,,,,,,
D,0,3,6,9,12,
1,285,285,286,287,288,
2,287,286,289,290,288,
3,291,289,289,289,NA,
4,292,293,289,288,294,
,,,,,,
E,0,3,6,9,12,15
1,295,296,297,297,298,NA
2,299,300,299,301,301,301
3,302,303,296,269,304,305
4,302,303,306,306,307,NA
