source,ground,ramets.s,noramets.s,ramets,noramets,linear,type,value,Gst,G'st,gdist
AC,CB,0.1175,0.434554974,0.094,0.083,0.090512541,i.1974,0.209080493,0.089,0.232,2
AC,CB,0.1175,0.434554974,0.094,0.083,0.090512541,i.estab,0.447043094,0.089,0.232,2
AC,CB,0.1175,0.434554974,0.094,0.083,0.090512541,i.noherb,0.363131989,0.089,0.232,2
AC,GI,0.10375,0.397905759,0.083,0.076,0.082251082,i.1974,0.290270778,0.08,0.2,1
AC,GI,0.10375,0.397905759,0.083,0.076,0.082251082,i.estab,0.546799995,0.08,0.2,1
AC,GI,0.10375,0.397905759,0.083,0.076,0.082251082,i.noherb,0.433073701,0.08,0.2,1
AC,JB,0.13625,0.429319372,0.109,0.082,0.089324619,i.1974,0.390484663,0.095,0.235,1
AC,JB,0.13625,0.429319372,0.109,0.082,0.089324619,i.estab,0.666248664,0.095,0.235,1
AC,JB,0.13625,0.429319372,0.109,0.082,0.089324619,i.noherb,0.50419811,0.095,0.235,1
CA,AC,0.075,0.256544503,0.06,0.049,0.051524711,i.1974,0.374508562,0.058,0.139,1
CA,AC,0.075,0.256544503,0.06,0.049,0.051524711,i.estab,0.637223615,0.058,0.139,1
CA,AC,0.075,0.256544503,0.06,0.049,0.051524711,i.noherb,0.516167063,0.058,0.139,1
CA,CB,0.08625,0.298429319,0.069,0.057,0.060445387,i.1974,0.24852843,0.063,0.169,2
CA,CB,0.08625,0.298429319,0.069,0.057,0.060445387,i.estab,0.506994546,0.063,0.169,2
CA,CB,0.08625,0.298429319,0.069,0.057,0.060445387,i.noherb,0.394503521,0.063,0.169,2
CA,GI,0.065,0.246073298,0.052,0.047,0.049317943,i.1974,0.342414136,0.05,0.128,1
CA,GI,0.065,0.246073298,0.052,0.047,0.049317943,i.estab,0.603525437,0.05,0.128,1
CA,GI,0.065,0.246073298,0.052,0.047,0.049317943,i.noherb,0.469790828,0.05,0.128,1
CA,JA,0.0475,0.12565445,0.038,0.024,0.024590164,i.1974,0.77959132,0.036,0.091,1
CA,JA,0.0475,0.12565445,0.038,0.024,0.024590164,i.estab,1,0.036,0.091,1
CA,JA,0.0475,0.12565445,0.038,0.024,0.024590164,i.noherb,1,0.036,0.091,1
CA,JB,0.10125,0.282722513,0.081,0.054,0.057082452,i.1974,0.335477693,0.067,0.172,1
CA,JB,0.10125,0.282722513,0.081,0.054,0.057082452,i.estab,0.589357844,0.067,0.172,1
CA,JB,0.10125,0.282722513,0.081,0.054,0.057082452,i.noherb,0.458907388,0.067,0.172,1
CA,SA,0.25,1,0.2,0.191,0.236093943,i.1974,0.23675781,0.176,0.588,2
CA,SA,0.25,1,0.2,0.191,0.236093943,i.estab,0.527919313,0.176,0.588,2
CA,SA,0.25,1,0.2,0.191,0.236093943,i.noherb,0.410833408,0.176,0.588,2
CA,WR,0.05625,0.157068063,0.045,0.03,0.030927835,i.1974,0.254288994,0.05,0.133,1
CA,WR,0.05625,0.157068063,0.045,0.03,0.030927835,i.estab,0.517436938,0.05,0.133,1
CA,WR,0.05625,0.157068063,0.045,0.03,0.030927835,i.noherb,0.400986053,0.05,0.133,1
CA,WT,0.0825,0.272251309,0.066,0.052,0.054852321,i.1974,0.290561213,0.045,0.122,2
CA,WT,0.0825,0.272251309,0.066,0.052,0.054852321,i.estab,0.569972558,0.045,0.122,2
CA,WT,0.0825,0.272251309,0.066,0.052,0.054852321,i.noherb,0.452755246,0.045,0.122,2
GI,CB,0.04625,0.120418848,0.037,0.023,0.023541453,i.1974,0.271997848,0.033,0.091,1
GI,CB,0.04625,0.120418848,0.037,0.023,0.023541453,i.estab,0.531968418,0.033,0.091,1
GI,CB,0.04625,0.120418848,0.037,0.023,0.023541453,i.noherb,0.47705557,0.033,0.091,1
JA,AC,0.06375,0.214659686,0.051,0.041,0.042752868,i.1974,0.274190317,0.048,0.118,1
JA,AC,0.06375,0.214659686,0.051,0.041,0.042752868,i.estab,0.550387796,0.048,0.118,1
JA,AC,0.06375,0.214659686,0.051,0.041,0.042752868,i.noherb,0.436444817,0.048,0.118,1
JA,CB,0.08125,0.214659686,0.065,0.041,0.042752868,i.1974,0.275708252,0.059,0.162,1
JA,CB,0.08125,0.214659686,0.065,0.041,0.042752868,i.estab,0.542330617,0.059,0.162,1
JA,CB,0.08125,0.214659686,0.065,0.041,0.042752868,i.noherb,0.416736266,0.059,0.162,1
JA,GI,0.08,0.267015707,0.064,0.051,0.05374078,i.1974,0.35590922,0.058,0.151,1
JA,GI,0.08,0.267015707,0.064,0.051,0.05374078,i.estab,0.607781704,0.058,0.151,1
JA,GI,0.08,0.267015707,0.064,0.051,0.05374078,i.noherb,0.464383342,0.058,0.151,1
JA,JB,0.1075,0.293193717,0.086,0.056,0.059322034,i.1974,0.302645008,0.069,0.178,1
JA,JB,0.1075,0.293193717,0.086,0.056,0.059322034,i.estab,0.557588422,0.069,0.178,1
JA,JB,0.1075,0.293193717,0.086,0.056,0.059322034,i.noherb,0.439119046,0.069,0.178,1
JA,SA,0.23,0.842931937,0.184,0.161,0.191895113,i.1974,0.251926622,0.17,0.583,2
JA,SA,0.23,0.842931937,0.184,0.161,0.191895113,i.estab,0.551253514,0.17,0.583,2
JA,SA,0.23,0.842931937,0.184,0.161,0.191895113,i.noherb,0.426197041,0.17,0.583,2
JA,WR,0.045,0.089005236,0.036,0.017,0.017293998,i.1974,0.287379406,0.041,0.111,1
JA,WR,0.045,0.089005236,0.036,0.017,0.017293998,i.estab,0.568548959,0.041,0.111,1
JA,WR,0.045,0.089005236,0.036,0.017,0.017293998,i.noherb,0.444253534,0.041,0.111,1
JA,WT,0.09625,0.32460733,0.077,0.062,0.066098081,i.1974,0.257747404,0.05,0.138,2
JA,WT,0.09625,0.32460733,0.077,0.062,0.066098081,i.estab,0.540041587,0.05,0.138,2
JA,WT,0.09625,0.32460733,0.077,0.062,0.066098081,i.noherb,0.425035711,0.05,0.138,2
JB,CB,0.06,0.162303665,0.048,0.031,0.031991744,i.1974,0.236585916,0.037,0.102,2
JB,CB,0.06,0.162303665,0.048,0.031,0.031991744,i.estab,0.483870201,0.037,0.102,2
JB,CB,0.06,0.162303665,0.048,0.031,0.031991744,i.noherb,0.414996224,0.037,0.102,2
JB,GI,0.03375,0.041884817,0.027,0.008,0.008064516,i.1974,0.683450487,0.019,0.051,1
JB,GI,0.03375,0.041884817,0.027,0.008,0.008064516,i.estab,0.996307694,0.019,0.051,1
JB,GI,0.03375,0.041884817,0.027,0.008,0.008064516,i.noherb,0.91137477,0.019,0.051,1
PB,AC,0.05,0.19895288,0.04,0.038,0.03950104,i.1974,1,0.038,0.105,1
PB,AC,0.05,0.19895288,0.04,0.038,0.03950104,i.estab,0.794322466,0.038,0.105,1
PB,AC,0.05,0.19895288,0.04,0.038,0.03950104,i.noherb,0.715876037,0.038,0.105,1
PB,CA,0.06,0.204188482,0.048,0.039,0.040582726,i.1974,0.411250991,0.045,0.126,1
PB,CA,0.06,0.204188482,0.048,0.039,0.040582726,i.estab,0.653932993,0.045,0.126,1
PB,CA,0.06,0.204188482,0.048,0.039,0.040582726,i.noherb,0.567289411,0.045,0.126,1
PB,CB,0.06375,0.204188482,0.051,0.039,0.040582726,i.1974,0.210928096,0.047,0.145,2
PB,CB,0.06375,0.204188482,0.051,0.039,0.040582726,i.estab,0.447249543,0.047,0.145,2
PB,CB,0.06375,0.204188482,0.051,0.039,0.040582726,i.noherb,0.372736145,0.047,0.145,2
PB,GI,0.07125,0.287958115,0.057,0.055,0.058201058,i.1974,0.282075136,0.051,0.149,1
PB,GI,0.07125,0.287958115,0.057,0.055,0.058201058,i.estab,0.517419447,0.051,0.149,1
PB,GI,0.07125,0.287958115,0.057,0.055,0.058201058,i.noherb,0.415452047,0.051,0.149,1
PB,JA,0.05875,0.151832461,0.047,0.029,0.029866117,i.1974,0.287577353,0.043,0.125,1
PB,JA,0.05875,0.151832461,0.047,0.029,0.029866117,i.estab,0.562468159,0.043,0.125,1
